DATE,COUNTRY,REVENUE_NET_USD_TOTAL,AD_COST_USD_CRITEO_PROSPECTING,AD_COST_USD_CRITEO_REMARKETING,AD_COST_USD_EMAIL,AD_COST_USD_FACEBOOK_ASC,AD_COST_USD_FACEBOOK_PROSP,AD_COST_USD_FACEBOOK_REMARKETING,AD_COST_USD_FACEBOOK_RETENTION,AD_COST_USD_GOOGLE_REMARKETING,AD_COST_USD_PAID_DISPLAY,AD_COST_USD_SEARCH_BRAND,AD_COST_USD_SEARCH_NON_BRAND,AD_COST_USD_SEARCH_PMAX,AD_COST_USD_SEARCH_SHOPPING,AD_IMPRESSIONS_CRITEO_PROSPECTING,AD_IMPRESSIONS_CRITEO_REMARKETING,EMAIL_OPEN,AD_IMPRESSIONS_FACEBOOK_ASC,AD_IMPRESSIONS_FACEBOOK_PROSP,AD_CLICKS_FACEBOOK_REMARKETING,AD_CLICKS_FACEBOOK_RETENTION,AD_CLICKS_GOOGLE_REMARKETING,AD_CLICKS_SEARCH_BRAND,AD_IMPRESSIONS_SEARCH_NON_BRAND,AD_IMPRESSIONS_SEARCH_PMAX,AD_IMPRESSIONS_SEARCH_SHOPPING,SESSIONS_ORGANIC
2022-07-19,US,414586,186,0,1234,0,966,0,0,0,0,41130,24244,0,9648,58930,0,192662,0,94526,0,0,0,5522,334662,0,769206,9454
2022-07-20,US,501856,214,0,1692,0,475,0,0,0,0,17366,26578,0,11268,70778,0,203143,0,38685,0,0,0,3008,320968,0,966022,6254
2022-07-21,US,457532,87,546,1368,0,469,0,0,0,0,16884,23414,0,6308,30768,103040,200006,0,39208,0,0,0,2816,330826,0,698864,9294
2022-07-22,US,456771,208,0,1292,0,467,0,0,0,0,21526,18420,0,6146,73671,0,193897,0,38746,0,0,0,3174,288624,0,662840,10358
2022-07-23,US,78041,201,207,338,0,924,0,0,0,0,6536,10512,0,3530,65495,45736,36078,0,69204,0,0,0,1058,158964,0,343942,3378
2022-07-24,US,68811,488,332,254,0,1012,0,0,0,0,6964,11354,0,3548,164998,70334,25027,0,80018,0,0,0,1038,147498,0,340502,3432
2022-07-25,US,417656,1060,680,1464,0,491,0,0,0,0,18034,23946,0,6972,363868,139063,202451,0,58859,0,0,0,2798,334448,0,714946,9126
2022-07-26,US,506175,0,1072,1234,0,483,0,0,0,0,20952,22648,0,6390,0,233038,214671,0,44456,0,0,0,3130,309622,0,584364,6442
2022-07-27,US,509355,353,970,1692,0,944,0,0,0,0,23256,21982,0,6742,103879,229616,210721,0,115914,0,0,0,3184,324060,0,550396,6026
2022-07-28,US,461279,876,662,1368,0,471,0,0,0,0,16870,22320,0,6062,276860,144742,206665,0,59613,0,0,0,2632,322846,0,539620,8980
2022-07-29,US,359739,820,524,1292,0,0,0,0,0,0,15154,19836,0,5224,244904,107596,208325,0,0,0,0,0,2732,300750,0,466438,7392
2022-07-30,US,75959,0,496,338,0,994,0,0,0,0,4990,10992,0,3040,0,102322,38924,0,72844,0,0,0,1116,167406,0,266588,3144
2022-07-31,US,74021,293,504,254,0,1020,0,0,0,0,4936,11040,0,2922,137792,99208,26154,0,98534,0,0,0,1056,183722,0,284308,3668
2022-08-01,US,414696,1064,1362,2022,0,1002,0,0,0,0,21754,23688,0,5436,558532,293860,198827,0,136888,0,0,0,3672,398224,0,459454,6090
2022-08-02,US,502360,726,1174,1874,0,968,0,0,0,0,11190,25344,0,6088,319644,265584,201182,0,151850,0,0,0,2598,405138,0,467060,6780
2022-08-03,US,507722,744,998,2194,0,472,0,0,0,0,16718,24468,0,6716,356406,233356,202429,0,56070,0,0,0,2810,396618,0,483226,13030
2022-08-04,US,483005,532,726,1732,0,938,0,0,0,0,14626,23262,0,12504,187280,156458,209755,0,127546,0,0,0,2604,377352,0,810528,6314
2022-08-05,US,494334,668,836,1748,0,465,0,0,0,0,13918,21286,0,12634,252692,184256,207104,0,68025,0,0,0,2222,354306,0,807316,5322
2025-06-21,US,62486,0,1886,282,0,106,66,0,0,0,1972,7810,391,8612,0,384974,259421,0,4686,90,0,0,402,28174,14323,292318,1308
2025-06-22,US,47881,0,758,460,0,120,74,0,0,0,1760,7240,0,8434,0,168310,252437,0,4644,107,0,0,362,26268,0,326110,1332
2025-06-23,US,471109,0,3982,2536,0,114,77,0,0,0,5126,20874,624,15312,0,1062118,480921,0,5488,54,0,0,1046,49536,22280,599288,2298
2025-06-24,US,461260,0,3712,3412,0,130,0,0,0,0,5766,25388,0,16986,0,988876,472570,0,6072,0,0,0,1146,60552,0,588086,2574
2025-06-25,US,394566,0,3680,1942,0,706,85,0,0,0,6014,26592,0,17810,0,948046,464451,0,32162,99,0,0,1012,60802,0,597604,2456
2025-06-26,US,447441,0,3752,2512,0,884,80,0,0,0,5444,25358,1276,16730,0,928294,458112,0,44846,69,0,0,962,64972,31740,556650,2350
2025-06-27,US,390268,0,3408,2132,0,894,140,0,0,0,4458,20042,616,14872,0,819456,449404,0,49554,170,0,0,868,55282,16682,531946,2030
2025-06-28,US,88957,0,1760,282,0,898,69,0,0,0,1790,9506,0,9568,0,368050,260473,0,36906,107,0,0,468,33856,0,329210,1182
2025-06-29,US,47930,0,2634,460,0,900,77,0,0,0,1882,8862,391,10056,0,640646,94881,0,37418,105,0,0,378,35302,15117,346454,1354
2025-06-30,US,425726,0,9744,2536,0,790,0,0,0,0,4800,19404,532,18294,0,3070644,599965,0,47356,0,0,0,936,55538,20286,541588,2462
2025-07-01,US,464357,0,10678,1794,0,826,90,0,0,0,5526,22466,800,19946,0,3390684,513574,0,54720,103,0,0,1080,61252,19562,675500,2592
2025-07-02,US,404324,0,5642,1874,0,1064,90,0,0,0,5172,25878,0,20356,0,1628786,472769,0,64966,118,0,0,1076,66432,0,649886,2432
2025-07-03,US,351128,0,3882,2670,0,1100,89,0,0,0,4408,16586,1436,14618,0,1029892,444932,0,62836,99,0,0,824,49212,45752,538190,2124
2025-07-04,US,55907,0,957,820,0,1098,87,0,0,0,1880,5588,0,5900,0,201818,246459,0,58074,93,0,0,460,22552,0,259492,1414
2025-07-05,US,46774,0,808,658,0,1048,95,0,0,0,1570,8578,0,8142,0,164622,242489,0,51092,108,0,0,334,33984,0,316942,1228
2025-07-06,US,50500,0,1558,562,0,1134,95,0,0,0,2670,8200,436,11362,0,329884,253438,0,54112,85,0,0,442,32694,15499,383990,1352
2025-07-07,US,417876,0,4562,1786,0,1174,95,0,0,0,6310,23556,0,21752,0,1223792,493300,0,76902,81,0,0,1040,61678,0,793744,2542
2025-07-08,US,446915,0,2671,1874,0,1184,176,0,0,0,6114,29816,939,22912,0,644504,469185,0,60442,162,0,0,1054,70764,26373,733014,2622
2025-07-09,US,455145,0,5656,1866,0,1514,87,0,0,0,6694,27632,1918,25880,0,1341938,472732,0,76920,89,0,0,1126,73480,42816,732804,2664
2025-07-10,US,460694,0,2771,2662,0,1952,184,0,0,0,6282,24276,846,22846,0,675684,450999,0,107660,182,0,0,1144,63366,29664,719468,2522
2025-07-11,US,389956,0,4508,1924,0,2178,96,0,0,0,4986,17566,1326,21040,0,1046810,450300,0,116448,105,0,0,894,55972,40344,642756,2088
2025-07-12,US,75271,0,2412,718,0,2046,100,0,0,0,2282,8520,0,12502,0,496308,264539,0,106296,115,0,0,482,37116,0,392382,1234
2025-07-13,US,56196,0,1058,560,0,4460,106,0,0,0,2292,9076,0,12876,0,212478,93694,0,185794,105,0,0,514,35876,0,414394,1188
2025-07-14,US,464885,0,5478,1786,0,6174,210,0,0,0,6656,27588,866,25124,0,1450522,449948,0,223216,196,0,0,1102,74024,24324,773820,2370
2025-07-15,US,521187,0,6000,1874,0,6910,198,0,0,0,7918,32844,936,28808,0,1518018,458492,0,278774,246,0,0,1388,79848,26350,768524,2764
2025-07-16,US,487807,0,2506,1862,0,5320,91,0,0,0,7682,37186,0,25938,0,635724,459348,0,206804,130,0,0,1232,86164,0,780830,2746
2025-07-17,US,544375,0,6842,2658,0,4584,200,0,0,0,7896,30064,1062,22764,0,993508,448542,0,176166,168,0,0,1306,70660,38760,755916,2580
2025-07-18,US,474566,0,1820,1920,0,4900,198,0,0,0,5758,26654,2262,21358,0,467680,438663,0,165064,216,0,0,1010,66968,110198,593032,2382
2025-07-19,US,77064,0,411,716,0,2698,100,0,0,0,3376,11056,1118,10836,0,99498,256839,0,101794,110,0,0,600,41034,70065,400640,1210
2025-07-20,US,60089,0,363,558,0,2552,206,0,0,0,2742,11344,0,11952,0,87926,92865,0,89810,278,0,0,508,41966,0,398118,625
2025-07-21,US,591105,0,2622,1764,0,2526,210,0,0,0,7676,32218,2464,23072,0,707224,444651,0,101522,272,0,0,1300,79354,85074,781472,2642
2025-07-22,US,583138,0,3098,1880,0,2280,198,0,0,0,6856,44334,1464,29708,0,791870,466338,0,98680,172,0,0,1274,105732,50808,836622,2710
2025-07-23,US,649951,0,3978,1822,0,1582,97,0,0,0,8344,44838,0,28804,0,1022144,457778,0,74022,123,0,0,1370,113198,0,859720,2904
2025-07-24,US,594626,0,4094,2658,0,1706,198,0,0,0,8178,43214,1514,26378,0,980220,402841,0,68000,252,0,0,1378,111602,55970,789088,2844
2025-07-25,US,477237,0,4422,1894,0,2168,196,0,0,0,5102,36804,0,23852,0,1061094,389149,0,70838,190,0,0,940,95438,0,700368,2288
2025-07-26,US,96553,0,2620,694,0,2008,99,0,0,0,2282,17182,0,14110,0,532072,224186,0,54476,132,0,0,442,63482,0,469700,1234
2024-10-11,US,612144,0,1432,2054,0,14374,0,0,0,0,8980,37532,0,36126,0,244063,461035,0,716674,0,0,0,1220,109246,0,1295974,2548
2024-10-12,US,160675,0,1123,706,0,14312,0,0,0,0,2934,20980,1008,28036,0,126107,115540,0,700860,0,0,0,594,80534,38485,1198356,1494
2024-10-13,US,74354,0,2234,686,0,15300,0,0,0,0,2974,23422,0,20852,0,257330,77897,0,870072,0,0,0,544,85596,0,1263244,1620
2024-10-14,US,601154,902,2118,2420,846,15114,0,0,0,0,10118,47542,2026,35368,223086,396804,485659,31201,792486,0,0,0,1346,121830,63594,1658790,3200
2024-10-15,US,688526,1530,4086,2840,0,16154,0,0,0,0,12418,53728,2352,38432,388682,764100,486005,0,827510,0,0,0,1564,129930,56590,1449174,3634
2024-10-16,US,710821,775,3502,1930,0,16984,0,0,0,0,12758,55006,2556,40782,190239,606612,489714,0,822574,0,0,0,1722,129308,61966,1410864,3550
2024-10-17,US,660431,986,3890,3232,0,16404,0,0,0,0,12160,52120,2034,38682,233446,645636,483787,0,862392,0,0,0,1566,121468,51792,1353266,3398
2024-10-18,US,683786,606,3798,2054,0,17444,0,0,0,0,8224,39490,1104,41620,124396,588130,471083,0,977830,0,0,0,1144,109856,21918,1318592,2896
2024-10-19,US,116442,0,1350,706,0,16310,0,0,0,0,2822,18252,0,24938,0,147036,116262,0,850190,0,0,0,504,75002,0,891170,1804
2024-10-20,US,90337,102,1395,686,0,17982,0,0,0,0,2284,23878,0,20844,15659,146871,81131,0,997186,0,0,0,478,80958,0,818654,923
2024-10-21,US,649738,0,4376,2420,0,17654,0,0,0,0,8460,55976,1295,43504,0,746192,453367,0,1016784,0,0,0,1394,135288,38079,1394524,3392
2024-10-22,US,704577,1344,3504,2840,0,17288,0,0,0,0,10094,59564,1252,43018,264744,586538,486594,0,973522,0,0,0,1574,141918,41621,1433128,3498
2024-10-23,US,769887,1112,2050,1930,0,17682,0,0,0,0,12794,61194,941,52138,202118,360245,479610,0,1016532,0,0,0,1642,142916,23617,1517564,3718
2024-10-24,US,731817,0,4100,3232,0,18164,0,0,0,0,10682,52358,949,52436,0,692866,492426,0,1040704,0,0,0,1488,127944,28594,1620736,3654
2024-10-25,US,610091,1596,3650,2054,0,17954,0,0,0,0,7970,42414,723,40858,340020,559472,453434,0,980640,0,0,0,1272,116470,24939,1326374,3082
2024-10-26,US,167508,1164,2530,706,0,18174,0,0,0,0,3168,22290,0,25556,548016,236394,117211,0,1021890,0,0,0,578,85024,0,917650,1660
2024-10-27,US,97745,623,1213,686,0,19422,0,0,0,0,1362,23780,0,26116,223883,119258,82820,0,1052498,0,0,0,256,87960,0,954332,1914
2024-10-28,US,724872,1090,2158,2420,0,19114,0,0,0,0,11218,51424,834,42916,448702,416172,494432,0,1163836,0,0,0,1628,131114,25265,1526944,3534
2024-10-29,US,816917,705,4208,2840,0,19016,0,0,0,0,10210,59796,943,52878,381343,811540,483596,0,1156766,0,0,0,1478,149796,23248,1590374,3850
2024-10-30,US,757977,991,1574,1930,0,18756,0,0,0,0,9924,62094,875,57628,639451,253343,574451,0,1136154,0,0,0,1478,152678,24137,1696756,3376
2024-10-31,US,677334,918,4010,1836,0,18916,0,0,0,0,9122,58006,1908,43518,656728,695080,491348,0,1366304,0,0,0,1264,138126,53254,1391322,2828
2024-11-01,US,530360,1820,3496,1950,0,17640,0,0,0,0,7468,47760,1251,31248,909722,552070,481348,0,1288662,0,0,0,1190,134252,26662,1157762,2810
2024-11-02,US,202229,402,2884,962,0,17866,0,0,0,0,2794,27382,850,25796,149125,336824,121099,0,1331022,0,0,0,518,101936,33289,876636,1456
2024-11-03,US,97040,0,3346,800,0,19680,0,0,0,0,3542,26538,1734,27858,0,391396,247516,0,1298868,0,0,0,576,102710,70988,1020578,1938
2024-11-04,US,621845,2204,4436,2366,0,19346,0,0,0,0,10596,55308,1432,49362,1322738,687702,496016,0,1363472,0,0,0,1416,152310,42264,1606182,3400
2024-11-05,US,636930,1179,3920,2442,0,18986,0,0,0,0,10014,64592,2146,55666,588086,728756,481978,0,1535534,0,0,0,1484,155408,69046,1776722,3524
2024-11-06,US,744478,2386,2174,2598,0,17692,0,0,0,0,8860,71824,2432,59220,1184830,399667,486556,0,1629660,0,0,0,1380,157120,77710,1877574,3300
2024-11-07,US,734701,1156,3168,3022,0,18308,0,0,0,0,11094,72350,1848,74122,533982,469148,475113,0,1116080,0,0,0,1486,168650,59902,2102666,3590
2024-11-08,US,660444,916,3546,2262,0,17120,0,0,0,0,9004,53170,1042,58442,436731,433566,462455,0,1000050,0,0,0,1288,148268,35274,1843946,3120
2024-11-09,US,110339,393,2302,1126,0,18790,0,0,0,0,3038,30780,931,38836,309929,175974,119545,0,1075320,0,0,0,542,121732,42749,1254854,1602
2024-11-10,US,101019,341,0,834,0,19526,0,0,0,0,3162,26926,0,46102,445727,0,244606,0,1125346,0,0,0,520,122364,0,1475102,1792
2024-11-11,US,549059,624,3882,2466,0,22262,0,0,0,0,10582,64052,1125,69534,448280,581996,476239,0,1210118,0,0,0,1416,183412,51409,2064032,3658
2024-11-12,US,664954,0,2147,2546,0,18162,0,0,0,0,10910,75966,1046,66528,0,304637,503408,0,917974,0,0,0,1498,208980,43383,1846048,4250
2024-11-13,US,700797,0,3840,2706,0,17546,0,0,0,0,11426,81200,1123,44108,0,501068,493328,0,977434,0,0,0,1626,198548,35192,1318442,4482
2024-11-14,US,691912,2184,3930,3148,0,18318,0,0,0,0,13186,81908,893,72332,737450,544570,487680,0,1033196,0,0,0,1704,186372,29914,2094124,4290
2024-11-15,US,696077,322,4140,2358,0,17580,0,0,0,0,8854,64604,1902,48310,98216,542408,470684,0,989370,0,0,0,1300,158336,84410,1506578,3732
2023-05-23,US,537568,2804,4932,1768,0,288,0,0,0,0,11088,57858,0,55516,572966,1222692,212125,0,28566,0,0,0,2062,394488,0,1830526,5576
2023-05-24,US,573281,2358,3874,1660,0,0,0,0,0,0,23762,39418,0,55536,483858,1036748,218018,0,0,0,0,0,2932,332782,0,1797734,5474
2023-05-25,US,581990,2212,4138,1650,0,271,0,0,0,0,14538,37236,0,69544,489424,1040588,211266,0,27130,0,0,0,2082,288906,0,2162356,5320
2023-05-26,US,447285,2070,1750,1144,0,0,0,0,0,0,8440,28992,0,42322,459012,421440,210794,0,0,0,0,0,1328,288048,0,1506420,4204
2023-05-27,US,81285,728,2472,170,0,263,0,0,0,0,2020,14998,0,24038,144539,503736,44880,0,22583,0,0,0,556,206450,0,1235758,2738
2023-05-28,US,56013,1810,3152,278,0,0,0,0,0,0,1312,12456,0,29606,360668,639068,29875,0,0,0,0,0,462,209654,0,1362622,2854
2023-05-29,US,72274,2706,4570,724,0,285,0,0,0,0,2878,17590,0,31474,510786,925448,182255,0,26427,0,0,0,688,249210,0,1502922,3384
2023-05-30,US,518372,3312,4116,1768,0,277,0,0,0,0,12282,37546,0,55460,658256,861316,230671,0,29300,0,0,0,1776,410062,0,2047792,5172
2023-05-31,US,568206,524,0,1660,0,276,0,0,0,0,13914,37470,0,57374,318686,9,230092,0,26272,0,0,0,1944,422114,0,2050990,5182
2023-06-01,US,531512,2576,4826,1628,0,0,0,0,0,0,10554,35286,0,57360,639756,1031024,220135,0,0,0,0,0,1662,380696,0,1969778,8184
2023-06-02,US,438351,93,682,1138,0,564,0,0,0,0,8942,27640,0,48036,18253,159565,221979,0,61506,0,0,0,1366,451866,0,2000486,4512
2023-06-03,US,82816,0,273,282,0,262,0,0,0,0,2516,15084,0,33688,0,68916,47192,0,26583,0,0,0,666,284750,0,1645658,2888
2023-06-04,US,63243,20,374,234,0,288,0,0,0,0,2144,15386,0,53558,3663,86708,35582,0,30259,0,0,0,664,351288,0,2167836,3140
2023-06-05,US,462949,0,1006,1792,0,298,0,0,0,0,13242,35582,0,84522,0,253824,199193,0,29527,0,0,0,1834,715798,0,2488100,5444
2023-06-06,US,524243,234,1132,1420,0,279,0,0,0,0,12378,38842,0,70342,48464,318374,217886,0,24642,0,0,0,1926,647022,0,2315938,5564
2023-06-07,US,621970,560,976,2018,0,452,0,0,0,0,12770,41916,0,68304,119624,259790,226043,0,44000,0,0,0,1972,725236,0,2280530,5722
2023-06-08,US,560269,269,1070,1628,0,0,0,0,0,0,12666,39512,0,44408,57890,272640,219332,0,0,0,0,0,1886,551576,0,1552752,5432
2023-06-09,US,526157,404,896,1138,0,0,0,0,0,0,10712,29630,0,37284,91648,239252,218511,0,0,0,0,0,1526,415662,0,1253326,4502
2023-06-10,US,75066,176,339,282,0,0,0,0,0,0,2534,17318,0,18422,32907,80296,45329,0,0,0,0,0,654,230230,0,838320,3020
2023-06-11,US,69041,221,932,234,0,0,0,0,0,0,2402,20816,0,18546,44750,227592,120772,0,0,0,0,0,620,243644,0,891174,3094
2023-06-12,US,553190,346,1322,1792,0,0,0,0,0,0,22570,44262,0,38994,74983,335250,232292,0,0,0,0,0,2386,481226,0,1406978,5266
2023-06-13,US,456153,574,1230,1420,0,0,0,0,0,0,16450,45756,0,43354,133300,335310,223205,0,0,0,0,0,1972,367634,0,1452156,5582
2023-06-14,US,682396,233,1038,2018,0,0,0,0,0,0,15010,38358,0,45002,56152,280166,223666,0,0,0,0,0,1870,354334,0,1462044,5492
2023-06-15,US,572926,239,1044,1628,0,0,0,0,0,0,12598,32412,0,40136,51000,289750,221543,0,0,0,0,0,1814,301890,0,1392394,5160
2023-06-16,US,403362,241,1008,1138,0,0,0,0,0,0,8722,26408,0,30934,48774,286370,215809,0,0,0,0,0,1268,274508,0,1165248,4350
2023-06-17,US,81058,147,636,282,0,0,0,0,0,0,2312,13978,0,19358,27239,164482,46105,0,0,0,0,0,558,130096,0,843204,2612
2023-06-18,US,44380,0,395,240,0,0,0,0,0,0,1870,11962,0,18340,0,100042,31738,0,0,0,0,0,492,128298,0,827246,2762
2023-06-19,US,429755,274,1256,1792,0,0,0,0,0,0,10856,31124,0,34802,64156,331936,,0,0,0,0,0,1524,305436,0,1102384,4584
2023-06-20,US,481007,562,1250,1420,0,0,0,0,0,0,12548,33136,0,36118,154488,361228,230714,0,0,0,0,0,1784,581380,0,1110456,5286
2023-06-21,US,532547,498,1090,2018,0,0,0,0,0,0,11128,26778,0,24532,139624,330212,218502,0,0,0,0,0,1742,318216,0,808536,5278
2023-06-22,US,433651,438,500,1628,0,0,0,0,0,0,11536,26256,0,25818,128608,158434,223589,0,0,0,0,0,1610,312162,0,804986,5172
2023-06-23,US,366895,426,463,1138,0,0,0,0,0,0,8198,17204,0,15702,132288,154300,223942,0,0,0,0,0,1094,110766,0,527116,4654
2023-06-24,US,44866,126,0,282,0,0,0,0,0,0,0,0,0,1576,37560,0,47524,0,0,0,0,0,0,0,0,21578,3102
2023-06-25,US,39611,434,946,234,0,0,0,0,0,0,0,0,0,2558,118268,248514,34547,0,0,0,0,0,0,0,0,22598,3508
2023-06-26,US,408130,502,504,1792,0,0,0,0,0,0,0,0,0,1992,134086,134102,210671,0,0,0,0,0,0,0,0,25382,6338
2023-06-27,US,426594,0,0,1420,0,0,0,0,0,0,0,0,0,2180,10,14,210933,0,0,0,0,0,0,0,0,25398,6812
2022-08-06,US,89619,231,271,414,0,458,0,0,0,0,4062,12866,0,8328,93458,59906,38081,0,55298,0,0,0,906,205014,0,601986,3374
2022-08-07,US,60859,257,0,318,0,1022,0,0,0,0,5002,6860,0,9862,105397,0,26509,0,99852,0,0,0,896,101195,0,829618,3550
2022-08-08,US,484180,2156,906,2022,0,500,0,0,0,0,17622,26184,0,16598,1060236,198745,203603,0,56103,0,0,0,3118,427318,0,1477776,9750
2022-08-09,US,535438,1604,1802,1874,0,970,0,0,0,0,20064,26516,0,16174,661754,389108,203303,0,87490,0,0,0,2812,473954,0,1437734,6770
2022-08-10,US,554429,1996,636,2194,0,942,0,0,0,0,17108,29620,0,22698,895640,141826,209173,0,87094,0,0,0,2692,511628,0,2111128,6540
2022-08-11,US,499463,1630,1470,1732,0,938,0,0,0,0,13284,29006,0,19466,792090,335038,209529,0,91264,0,0,0,2308,462186,0,1724110,6392
2022-08-12,US,459470,1644,1074,1748,0,465,0,0,0,0,14788,20798,0,18058,1168910,254448,204974,0,44527,0,0,0,2296,401626,0,1799450,5448
2022-08-13,US,67903,758,482,414,0,458,0,0,0,0,4856,10844,0,21796,467166,99789,37261,0,38973,0,0,0,784,197594,0,1712346,3368
2022-08-14,US,43809,1276,396,318,0,509,0,0,0,0,4586,11100,0,17202,713354,84623,26016,0,46449,0,0,0,700,197668,0,1991216,3728
2022-08-15,US,525285,2428,2080,2022,0,0,0,0,0,0,15114,25048,0,26764,1969728,457536,185681,0,0,0,0,0,2386,429904,0,2384786,6208
2022-08-16,US,540849,867,1574,1874,0,452,0,0,0,0,16586,21942,0,8534,687597,381986,201696,0,48104,0,0,0,2656,454436,0,551122,9594
2022-08-17,US,644450,1698,1482,2194,0,0,0,0,0,0,16270,25694,0,11432,1064756,364000,197734,0,0,0,0,0,2814,399126,0,782658,6954
2022-08-18,US,590050,1976,1516,1732,0,474,0,0,0,0,21012,20368,0,22664,1477608,377042,203921,0,47830,0,0,0,2826,362448,0,1701770,13816
2022-08-19,US,518759,1884,1564,1748,0,474,0,0,0,0,22650,16564,0,22296,1113898,361044,182180,0,49851,0,0,0,3120,323880,0,1785722,5806
2022-08-20,US,94571,1328,483,414,0,0,0,0,0,0,4476,8344,0,8900,953568,100503,30945,0,0,0,0,0,906,156630,0,669012,3656
2022-08-21,US,77663,1996,1498,318,0,1000,0,0,0,0,5686,9234,0,7760,2218588,283262,24348,0,83604,0,0,0,996,158038,0,584564,3984
2022-08-22,US,523203,3212,2620,2022,0,996,0,0,0,0,12960,20184,0,11194,3257388,523810,194658,0,101546,0,0,0,2460,363240,0,818914,7174
2022-08-23,US,581798,2514,1984,1874,0,486,0,0,0,0,16496,18752,0,18970,3015088,456392,187899,0,47169,0,0,0,2754,335552,0,1227086,7404
2022-08-24,US,574257,2360,967,2194,0,946,0,0,0,0,15744,20448,0,16428,4810062,229930,226914,0,89004,0,0,0,2848,399476,0,1122324,7092
2022-08-25,US,611401,1002,1846,1732,0,472,0,0,0,0,18132,20450,0,12836,1992464,417134,243346,0,46617,0,0,0,2764,319522,0,945722,7292
2022-08-26,US,463033,1578,679,1748,0,469,0,0,0,0,20524,16788,0,9240,3112342,159570,211286,0,52849,0,0,0,2904,256246,0,693674,5834
