DATE,COUNTRY,REVENUE_NET_USD_TOTAL,AD_COST_USD_PAID_DISPLAY,AD_COST_USD_EMAIL,AD_COST_USD_PAID_SOCIAL,AD_COST_USD_SEARCH_BRAND,AD_COST_USD_SEARCH_NON_BRAND,AD_COST_USD_SEARCH_SHOPPING,AD_IMPRESSIONS_PAID_DISPLAY,REVENUE_NET_USD_PAID_DISPLAY,REVENUE_NET_USD_EMAIL,REVENUE_NET__USD_PAID_SOCIAL,REVENUE_NET_USD_SEARCH_BRAND,REVENUE_NET_USD_SEARCH_NON_BRAND,REVENUE_NET_USD_SEARCH_SHOPPING
2025-05-26,US,81413,1946,1602,102,2806,8558,7088,479114,819,15954,2283,6798,5354,5200
2025-05-27,US,446924,5714,2498,126,8350,22660,21506,1643334,4599,57900,1717,11594,20174,12545
2025-05-28,US,480869,5440,2110,126,9266,24918,19476,1542862,3740,56182,1531,14779,19480,11294
2025-05-29,US,513273,2333,2754,185,6368,24222,20802,673275,2791,49408,782,11261,27524,9229
2025-05-30,US,446684,4356,2170,182,4852,16972,16720,1285234,1673,40982,957,11844,18355,12478
2025-05-31,US,79733,2142,540,110,2684,9108,9572,499800,1111,20494,1049,7127,6228,6460
2025-06-01,US,72428,1664,460,209,1958,7766,12548,390796,1432,10635,991,6283,6653,7220
2025-06-02,US,468272,2418,2536,135,4856,20984,15710,713920,945,46095,1325,13503,20155,8865
2025-06-03,US,498141,5508,3412,228,6242,22678,19942,1586976,2536,59648,1886,14817,19930,13541
2025-06-04,US,530460,2258,1942,260,5888,20134,19504,651418,1669,48954,857,8941,25628,10690
2025-06-05,US,555163,4140,2512,388,5810,20440,21200,1111028,3284,60074,1369,16009,19565,11422
2025-06-06,US,434784,3504,2132,286,4756,13136,16802,910304,4997,46685,779,17956,18819,10796
2025-06-07,US,76345,1680,282,241,1526,8090,10552,356774,898,16230,1341,5563,4038,4719
2025-06-08,US,71248,1422,460,277,794,7940,9966,302158,1064,6144,852,2766,7569,5380
2025-06-09,US,498215,4216,2536,244,5706,19374,22044,1174988,2042,56035,1685,16712,14586,11782
2025-06-10,US,532630,4422,3412,265,5970,22056,22162,1298984,1813,77058,720,17722,18644,10660
2025-06-11,US,533948,4554,1942,260,6402,25622,21188,1170810,5811,53432,1113,16383,19200,8567
2025-06-12,US,468988,4808,2512,314,6624,21912,18832,1159676,5678,44583,863,18475,27058,8371
2025-06-13,US,387444,4744,2132,192,4678,18532,15136,1055258,1467,53769,2317,11735,16272,11446
2025-06-14,US,73929,2724,282,178,1862,7014,9392,523688,778,12375,767,2979,10413,8099
2025-06-15,US,44116,1063,460,258,1332,6806,4686,216789,1145,7476,1455,2547,1769,3229
2025-06-16,US,445927,6380,2536,258,5356,19678,19208,1655018,3533,47325,1441,16288,15742,12202
2025-06-17,US,471266,6524,3412,224,6566,23116,20860,1693502,2008,47364,1282,18721,14670,10941
2025-06-18,US,461860,6224,1942,232,5642,24624,18494,1641764,3937,41356,1486,19406,25797,8497
2025-06-19,US,420457,4400,2512,204,5054,19140,15106,1066322,1055,43397,2528,14823,19021,10875
2025-06-20,US,378912,4058,2132,185,4840,14002,13408,913260,1105,25702,1564,21661,13363,7377
2025-04-10,US,687665,4426,2534,2996,8688,55158,74026,1251918,1917,56855,2206,23371,40522,26620
2025-04-11,US,671542,4086,1942,2674,8424,34784,52036,1132468,3212,73545,2544,22845,35514,19240
2025-04-12,US,141027,2016,542,2446,3400,10054,22436,476354,997,36330,2982,4404,7872,6916
2025-04-13,US,94469,954,496,2226,2752,11858,20542,221083,2826,23560,1865,4213,8707,10607
2025-04-14,US,546954,6126,2278,1832,8894,38148,44562,1762000,5481,67359,1638,16793,29787,21008
2025-04-15,US,627339,6326,2256,1754,10084,30386,45228,1822544,2393,74074,2525,22554,32550,17982
2025-04-16,US,596840,5712,2730,2175,9484,29700,43668,1669420,4100,63114,1850,21338,29233,24229
2025-04-17,US,588853,5958,2534,2312,9292,29938,40640,1714156,5122,45339,1198,22560,24550,17679
2025-04-18,US,447011,4512,1942,2508,5976,24924,27250,1195472,12780,52350,3747,9819,14943,21612
2025-04-19,US,64962,2550,542,2136,3366,9572,9682,628522,429,17825,1915,4949,7118,4552
2025-04-20,US,45286,1778,496,2197,2056,7556,11674,443446,564,8953,1388,2096,4885,4497
2025-04-21,US,537116,6660,2278,2028,3452,5494,2468,1965770,1855,56756,2391,19000,25354,16391
2025-04-22,US,617507,4506,2256,1608,10360,35642,53864,1507652,3641,70232,3743,15837,35236,17365
2025-04-23,US,630691,4446,2730,1221,9208,34302,43792,1502656,3819,70443,2303,17602,29770,18686
2025-04-24,US,564097,4258,2534,1448,10000,30136,37200,1327372,2412,77627,2280,26261,25371,15376
2025-04-25,US,524112,3408,1942,1714,8044,24152,36506,1032924,3219,71012,1393,20817,25605,19429
2025-04-26,US,91660,2292,542,1308,3830,12584,20924,587550,993,18097,3253,7081,7394,10187
2025-04-27,US,84080,913,496,1286,3572,14412,21432,240099,195,16769,1756,5875,14200,7788
2025-04-28,US,537511,2966,2278,1154,9840,29214,38316,924361,4078,63093,2638,20525,25358,22000
2025-04-29,US,587289,6108,2256,830,9742,34402,38438,1905776,5417,86444,1580,30389,30402,16113
2025-04-30,US,603785,6452,2730,1028,9502,33014,39348,1959470,4224,58220,3041,31445,14774,21016
2025-05-01,US,630838,6402,2754,790,10458,34106,39042,1740284,5435,63163,2925,22450,21981,19180
2025-05-02,US,407402,5146,2170,568,8302,22638,27652,1397794,2816,52082,4154,10787,18557,18236
2025-05-03,US,85798,2602,540,148,1286,3310,908,577352,1522,23452,954,2380,3879,5892
2025-05-04,US,74595,2036,444,162,3508,16026,20952,455292,1353,17185,1995,4104,5738,11192
2025-05-05,US,502317,5704,2326,70,9918,31110,33014,1594800,2513,61305,1626,18082,18406,16631
2025-05-06,US,619928,6030,2498,76,10762,30832,32424,1750324,3856,63785,1916,24259,32311,17157
2025-05-07,US,552367,5560,2110,60,8806,29606,30864,1475688,2369,70602,3491,22332,26635,12529
2025-05-08,US,520533,2676,2754,124,8442,27276,26284,748898,1049,53034,1141,24295,23156,13342
2025-05-09,US,407539,2170,2170,128,6516,24776,21198,614783,2294,48021,2690,15507,22391,9229
2025-05-10,US,72448,913,540,34,2326,12338,12544,220542,827,16167,644,2527,9036,6331
2025-05-11,US,45426,1416,444,42,2052,11038,9926,345778,1291,10664,1389,3852,3209,6476
2025-05-12,US,451450,4496,2326,127,8458,33350,21506,1342576,4614,55710,1259,19733,28744,14118
2025-05-13,US,502326,4696,2498,126,8806,28600,24052,1389736,4774,58645,1877,24631,25958,14524
2025-05-14,US,521629,4378,2110,121,8950,27426,15466,1294830,4696,46118,1699,20838,23316,12563
2025-05-15,US,529031,3956,2754,232,8346,26646,22074,1113054,3595,54472,2613,15427,23891,11839
2024-05-19,US,50382,3020,342,3893,2912,18944,17036,317814,1022,6021,3484,3513,4698,3916
2024-05-20,US,490630,5540,1292,3696,12784,44896,32666,1072408,6131,50493,929,22833,11109,13715
2024-05-21,US,661830,3369,1788,3610,13788,46980,41718,691032,3286,47135,4337,24708,29555,11617
2024-05-22,US,629718,4712,1414,3574,13938,49824,40008,879360,8988,53249,2202,31892,21211,19506
2024-05-23,US,549147,3046,1736,2843,10422,43228,32542,573263,3086,41208,1259,32988,20348,20411
2024-05-24,US,440547,5030,1256,3578,8170,36154,27130,829808,3385,43114,1259,14321,17748,11575
2024-05-25,US,70367,1442,428,2936,2240,18070,19192,142374,311,11749,1180,3771,5521,7153
2024-05-26,US,52317,3012,342,2348,2190,18082,21114,260122,647,5763,1141,3073,6485,3451
2024-05-27,US,98150,2241,678,3690,3866,21680,29274,260834,1022,18524,1759,5658,9913,12211
2024-05-28,US,487685,1187,1788,2831,12802,46876,49040,231587,773,51510,1303,15835,16692,11150
2024-05-29,US,542775,553,1414,2790,11126,47176,44292,105629,438,54229,2083,25016,19929,19508
2024-05-30,US,504059,557,1736,2842,9522,49982,36568,108923,2158,33478,2311,17426,22155,10048
2024-05-31,US,442150,555,1256,2230,7806,35822,27644,99962,1287,36747,1659,18252,13597,6869
2024-06-01,US,83695,859,378,3582,1342,21682,17926,148375,639,7967,3175,8653,6557,9083
2024-06-02,US,60524,1146,350,2350,4254,22612,19562,189165,758,8674,1155,7579,5112,4813
2024-06-03,US,445581,4214,1386,3584,11530,52976,35038,868580,1828,44617,2271,16840,20915,11397
2024-06-04,US,560131,4587,1476,2876,12638,49268,36250,1036141,5446,51934,3503,25796,24146,11731
2024-06-05,US,535640,3021,1332,3464,9842,44016,27440,754468,2383,40492,2534,29868,19635,13132
2024-06-06,US,497198,4290,2850,3302,9034,46672,29284,921849,3412,42889,2123,19932,23572,11698
2024-06-07,US,465134,2784,1276,3512,7534,36656,25124,603923,1023,38672,3303,22134,26004,9426
2024-06-08,US,91644,964,378,3552,3296,19760,16784,164526,426,12887,3026,4342,5395,5107
2024-06-09,US,60478,2532,350,3386,2470,17874,19870,457288,1254,4682,2222,3515,8839,5486
2024-06-10,US,512705,3792,1386,2961,9870,48808,30832,785706,4017,40911,1697,20628,23828,13947
2024-06-11,US,545562,1363,1476,3160,11066,49402,29012,324769,1562,47648,3218,17082,28747,14244
2024-06-12,US,527717,2964,1332,2796,10334,48328,30072,656520,2139,41752,3033,25952,29427,11831
2024-06-13,US,552896,2739,2850,3558,8848,44430,26742,553189,4911,51167,1920,17416,19559,14088
2024-06-14,US,448584,1572,1276,2607,6950,39614,21328,304878,2419,51634,1582,12338,18625,11221
2024-06-15,US,70582,977,378,3710,2850,21234,14760,142912,656,11560,2759,4698,6173,6341
2024-06-16,US,38247,1708,258,3867,1926,17562,12766,221326,1187,4117,1832,2940,6267,3274
2024-06-17,US,417539,4438,1386,2326,9688,45842,29666,928492,5265,36992,1390,17748,15372,12319
2024-06-18,US,481431,4018,1476,2412,10132,47080,23876,849232,2827,38948,1709,19677,18492,17017
2024-06-19,US,413095,3457,1332,1820,10880,41266,18552,691137,3195,31629,627,16166,23512,9439
2024-06-20,US,451170,3210,2850,1636,10966,41612,17864,532100,1890,39490,931,19930,17808,5851
2024-06-21,US,435466,3179,1276,1742,6534,31108,16014,512428,2617,54796,3212,15348,15818,8798
2024-06-22,US,76328,1866,378,891,3812,18612,9578,156962,738,12025,599,3764,9073,2215
2024-06-23,US,50509,2134,350,2108,4526,18064,10810,242999,2068,12953,2363,3276,4578,3492
2023-03-11,US,107885,3064,334,271,5034,31988,28064,672284,939,7884,127,13804,7504,6219
2023-03-12,US,89683,5492,252,304,4402,32544,25282,1204550,3746,6262,122,10791,8701,14380
2023-03-13,US,626406,8804,1540,289,20384,67042,53608,2093638,3538,28860,101,37668,23438,17076
2023-03-14,US,672190,9044,1262,558,22094,70356,68650,2127874,7475,46373,388,34410,25849,21885
2023-03-15,US,616892,7158,1568,273,18454,67840,65432,1683976,3546,29470,159,27902,17846,25764
2023-03-16,US,614126,7074,1590,0,18550,58586,70606,1605128,4713,37077,0,26021,15646,21571
2023-03-17,US,522026,6252,1494,271,13804,35510,53076,1387804,4377,32701,325,25756,16464,18231
2023-03-18,US,121613,3709,334,272,3202,21498,33788,782332,1413,11389,145,7557,6686,9743
2023-03-19,US,95012,5968,252,602,3652,21568,33804,1239828,2454,6683,651,9416,7652,13504
2023-03-20,US,642723,8270,1540,286,19920,45610,61460,1766004,4134,24039,224,28071,13512,19889
2023-03-21,US,735913,8278,1262,281,19982,54534,70312,1846020,4347,47479,677,31895,27579,19842
2023-03-22,US,721296,7384,1568,273,17246,53310,76720,1611452,6539,25881,418,39601,28742,22022
2023-03-23,US,649791,6730,1590,274,18646,48776,57928,1495798,4674,47523,306,33739,17549,29755
2023-03-24,US,547853,6112,1494,272,15200,41204,50088,1364898,3570,40500,225,30728,18027,20455
2023-03-25,US,82826,3912,334,546,4502,20318,27868,820066,3447,6800,395,7386,8544,8291
2023-03-26,US,72701,4995,126,300,3670,20540,29266,978918,1892,3591,286,7068,5114,7382
2023-03-27,US,696234,6949,1540,287,16442,47184,52238,1426298,2633,67179,173,45192,15502,25235
2023-03-28,US,642393,9000,1262,279,15638,53574,55258,2028322,5333,40045,122,34763,17119,23003
2023-03-29,US,741512,6926,1568,275,16498,62834,58812,1576360,5120,33043,278,41957,19935,21738
2023-03-30,US,629124,6392,1590,273,12940,46080,47588,1493454,4477,33508,358,33426,19974,14364
2023-03-31,US,573314,4852,1494,548,11852,33370,39590,1176744,3244,42717,356,23880,20042,30054
2023-04-01,US,111417,4456,368,272,1475,16690,29340,1073464,7023,12013,710,8981,7811,10441
2023-04-02,US,87727,6402,130,598,2366,17480,30274,1454552,3081,5643,2004,7386,8851,14042
2023-04-03,US,608564,7579,1546,578,14722,45808,49026,1612506,5081,39492,409,28740,21508,19541
2023-04-04,US,581728,8660,1790,279,16528,51628,53566,2037408,9364,35489,143,28454,17134,23823
2023-04-05,US,603033,7116,2252,280,15848,51072,60424,1681078,4514,53764,336,23852,19123,21559
2023-04-06,US,636267,6178,1450,0,33864,47488,53642,1436722,4940,36870,0,33603,16822,30905
2023-04-07,US,446164,6028,1380,273,8884,40896,63974,1370594,5959,37856,204,20376,12059,17609
2023-04-08,US,72458,4638,368,0,2456,22998,27852,1018836,1224,9737,0,6126,4856,9965
2023-04-09,US,53744,5412,260,300,1860,17634,25330,1180048,3115,5318,111,4158,4816,10408
2023-04-10,US,603006,8936,1546,574,16052,49488,58176,1971416,2081,54716,1318,35230,24171,30478
2023-04-11,US,723730,8290,1790,0,17744,53926,63898,1971212,8061,45913,0,42125,25075,34672
2023-04-12,US,770648,7280,2252,548,13538,49620,80566,1731614,5784,49038,352,49558,42533,35954
2023-04-13,US,641116,7308,1450,275,23970,65396,108816,1708830,7484,49437,104,32303,22190,33478
2023-04-14,US,521594,6230,1380,272,10000,39666,82346,1405604,6204,21905,83,22541,20385,24176
2023-04-15,US,111214,2127,368,0,3688,21972,46644,470848,539,6540,0,8325,5570,20114
2023-12-26,US,91707,2407,558,0,7952,23128,17058,465713,1282,17982,0,11932,9368,8730
2023-12-27,US,227537,5017,946,0,9346,31842,20670,1065357,3355,42177,0,12634,15879,10057
2023-12-28,US,269492,6636,1272,0,8184,34442,21906,1282088,2206,41710,0,17876,10944,14030
2023-12-29,US,214108,4878,1294,0,6830,33724,27566,885494,1793,57999,0,12640,15032,14706
2023-12-30,US,71086,2246,1602,0,3736,17686,21708,297618,1804,13347,0,2818,5583,8519
2023-12-31,US,68692,1638,1010,0,2788,15336,17260,322239,8108,10453,0,3172,3182,11280
2024-01-01,US,64087,2428,346,0,3008,19624,23082,794838,1011,13170,0,5239,5845,6098
2024-01-02,US,471310,5322,1856,0,11286,38206,50426,1512800,2912,55906,0,13058,15433,14015
2024-01-03,US,485933,2642,1374,1136,14230,65376,63886,796696,6118,68686,234,18631,11738,23531
2024-01-04,US,488751,1975,1590,1118,13624,62842,61122,578780,2929,51342,601,21288,13746,17700
2024-01-05,US,373722,1962,1198,1122,13428,57002,53296,569231,2564,37773,592,15412,12113,8815
2024-01-06,US,67319,1054,382,538,5296,44002,24592,285863,508,10633,222,7135,5144,5986
2024-01-07,US,71109,894,336,1056,4744,40266,21970,242275,1752,6770,298,6921,5678,9584
2024-01-08,US,461025,2782,1576,1034,15898,59046,35818,860950,4107,56163,962,18086,26187,16082
2024-01-09,US,560964,3624,1856,495,19568,53630,35402,976928,1499,74301,459,23169,18301,11045
2024-01-10,US,572090,2300,1374,976,21478,57828,32956,608306,3857,61569,952,19034,13591,24073
2024-01-11,US,583845,3010,1590,978,18088,63756,33176,816058,3028,52897,524,24719,14590,19886
2024-01-12,US,494955,1505,1198,980,15640,65860,29850,431495,4286,55930,1509,15110,20415,10426
2024-01-13,US,107303,1552,382,494,5264,50428,19790,414977,942,10997,390,7685,14407,6693
2024-01-14,US,77910,1720,336,525,5056,54112,25180,456333,2605,8558,351,5170,6469,4451
2024-01-15,US,429051,3680,1576,1022,13074,63582,33160,1031390,3637,68455,678,8300,12171,8858
2024-01-16,US,543138,1849,1856,1368,17980,55772,43094,512338,2206,62383,1107,12756,20267,22018
2024-01-17,US,529349,2279,1374,1496,20058,44108,45452,720741,1729,46681,752,18657,18170,10140
2024-01-18,US,639083,2948,1590,1486,21998,31838,39206,795442,1749,42496,594,19221,20912,13874
2024-01-19,US,566304,2399,1198,1484,18040,25476,29258,601374,4961,56892,1189,15160,18649,15900
2024-01-20,US,116456,1635,382,1490,7734,19136,14708,336002,1490,10433,1261,10134,5718,5260
2024-01-21,US,73564,1129,336,788,5358,17248,16136,250335,959,3224,308,3355,6897,6233
2024-01-22,US,544884,1898,1576,1528,20378,29360,31632,495624,567,50837,674,17121,13470,10830
2024-01-23,US,602237,2296,1856,1514,25082,34474,34298,554741,1716,36921,650,25597,17487,15993
2024-01-24,US,640720,3664,1374,1492,22168,33904,37154,1388858,2275,53118,1264,19382,21240,25628
2024-01-25,US,625029,3798,1590,729,12202,33696,35684,1255732,2134,52703,311,15214,16865,18784
2024-01-26,US,554184,2796,1198,850,9686,25652,30248,1151947,2278,38772,98,16565,13472,8770
2024-01-27,US,102132,1960,382,844,2680,13484,23950,448666,1559,16844,215,3766,6152,8601
2024-01-28,US,79266,2640,336,915,1764,13530,19936,858975,2321,10081,371,3837,6611,7568
2024-01-29,US,581003,3528,1576,1732,9356,27834,38356,1347528,4214,58048,419,14813,18193,16115
2024-01-30,US,654223,2320,1856,1912,8348,30176,40538,921018,13526,53068,579,21360,17992,16148
2024-01-31,US,623999,2235,1374,995,7396,34534,38766,837798,2596,47219,83,24145,25378,21083
2024-02-01,US,649214,3550,1592,819,6394,34560,37776,1814924,3868,64044,447,15539,27984,14451
2024-02-02,US,542282,3934,1316,838,6348,28320,35042,1687148,2726,54306,676,17865,14584,15139
2024-02-03,US,107862,2544,464,0,2454,17494,20890,892700,2890,14928,0,6049,7800,6018
2024-02-04,US,87631,2648,366,948,2310,19282,20932,1421566,1155,3572,154,5532,7822,7146
2024-02-05,US,631824,3446,1428,924,9812,37142,40094,1235526,2276,56610,113,20195,19632,10492
2024-02-06,US,665948,3826,2030,902,8972,35420,42730,1475188,7746,62593,207,27292,17080,14966
2024-02-07,US,670519,3712,1612,1760,9390,38434,42556,1335904,3310,63998,654,24389,26691,17495
2024-02-08,US,725000,4056,1592,1371,8936,41166,38130,1330196,3300,49606,165,33791,19710,12638
2024-02-09,US,609064,3430,1316,1560,8384,36396,25370,1225222,2945,46684,1072,15593,14311,10741
2024-02-10,US,120617,1446,464,695,3108,23688,15152,235516,450,11230,149,6159,15071,10580
2024-02-11,US,79950,2760,366,1478,2348,21562,12508,1020826,2062,4738,446,3598,10808,5270
2024-02-12,US,618275,4262,1428,1233,11518,42266,35030,1590444,4353,41183,650,17630,18347,14019
2024-02-13,US,655944,4602,2030,1438,12764,47340,40700,1550616,2054,67298,390,22733,18176,11491
